T,O,H,L,C
1483232400,1.87806,2.61255,1.87806,2.61255
1483236000,2.63042,2.98551,2.63042,2.92476
1483239600,2.88685,3.19607,2.88685,3.19607
1483243200,3.21874,3.2544,2.85669,2.85669
1483246800,2.79705,2.91615,2.78039,2.90059
1483250400,2.87806,2.87806,2.7901,2.82553
1483254000,2.78752,2.78752,2.59759,2.59759
1483257600,2.54366,2.54366,1.69327,1.69327
1483261200,1.61599,1.65728,1.51813,1.65728
1483264800,1.66019,1.89783,1.66019,1.89535
1483268400,1.87806,1.93529,1.81525,1.93529
1483272000,1.92629,2.26971,1.92629,2.24565
1483275600,2.24451,2.41689,2.24451,2.41689
1483279200,2.42708,2.48623,2.39592,2.42357
1483282800,2.38011,2.38011,1.66244,1.66244
1483286400,1.62806,1.62806,1.18637,1.18637
1483290000,1.12132,1.12132,0.977337,1.03588
1483293600,1.06892,1.42277,1.06892,1.42277
1483297200,1.42657,1.79333,1.40043,1.79333
1483300800,1.80421,1.97093,1.77612,1.91051
1483304400,1.87806,1.87806,1.72941,1.83062
1483308000,1.85837,2.01517,1.85425,1.94811
1483311600,1.90627,2.51307,1.90627,2.51307
1483315200,2.52348,2.60161,2.43213,2.43213
1483318800,2.42155,2.63079,2.42155,2.63079
1483322400,2.62806,2.72842,2.62806,2.71328
1483326000,2.7071,2.78461,2.7071,2.78461
1483329600,2.82018,2.97084,2.82018,2.87747
1483333200,2.86222,2.86222,2.32886,2.32886
1483336800,2.26702,2.26702,1.85936,1.86006
1483340400,1.87806,1.90363,1.61927,1.61927
1483344000,1.62211,1.67323,1.53993,1.53993
1483347600,1.46641,1.46641,1.34457,1.44282
1483351200,1.48371,1.72875,1.48371,1.72875
1483354800,1.76078,2.11671,1.76078,2.11671
1483358400,2.12806,2.37896,2.12806,2.37896
1483362000,2.38344,2.38344,2.12861,2.15164
1483365600,2.18717,2.57768,2.18717,2.5668
1483369200,2.50411,2.50411,2.36059,2.39446
1483372800,2.41529,2.42428,1.93304,1.93304
1483376400,1.87806,1.87806,1.23292,1.23292
1483380000,1.16617,1.16617,1.05375,1.06835
1483383600,1.07976,1.07976,0.846342,0.852662
1483387200,0.86778,0.91649,0.534998,0.534998
1483390800,0.49433,0.759677,0.492587,0.759677
1483394400,0.878061,1.5692,0.878061,1.5692
1483398000,1.57525,1.61764,1.57525,1.59061
1483401600,1.58609,1.58609,1.37205,1.37205
1483405200,1.3638,1.51768,1.35043,1.51768
1483408800,1.59582,1.86111,1.59582,1.85546
1483412400,1.87806,1.93478,1.87806,1.92637
1483416000,1.91816,2.13728,1.91816,2.07115
1483419600,2.03349,2.15579,2.03349,2.12641
1483423200,2.11408,2.25236,2.09642,2.25236
1483426800,2.29446,2.73,2.29446,2.69196
1483430400,2.62806,2.62806,2.50817,2.55828
1483434000,2.547,2.547,2.47673,2.48798
1483437600,2.48925,2.48925,1.91973,1.91973
1483441200,1.88531,1.92574,1.73253,1.73253
1483444800,1.69088,1.81127,1.63788,1.81127
1483448400,1.87806,2.12744,1.87806,2.08415
1483452000,2.06611,2.09644,1.9672,2.09644
1483455600,2.17775,2.34797,2.17775,2.34797
1483459200,2.43177,2.61916,2.32992,2.32992
1483462800,2.30302,2.30302,2.1832,2.1832
1483466400,2.12806,2.26499,2.03234,2.26499
1483470000,2.25443,2.25443,2.06786,2.10714
1483473600,2.12079,2.17835,2.12079,2.16507
1483477200,2.16514,2.16514,2.08639,2.08639
1483480800,2.05263,2.05263,1.9389,1.9389
1483484400,1.87806,1.87806,1.74642,1.82455
1483488000,1.80926,1.80926,1.56629,1.56629
1483491600,1.5121,1.5121,0.808939,0.808939
1483495200,0.798613,0.798613,0.714622,0.714622
1483498800,0.733257,1.39298,0.733257,1.39167
1483502400,1.37806,1.75494,1.37717,1.67778
1483506000,1.65872,1.66017,1.58271,1.66017
1483509600,1.70705,2.1366,1.70705,2.1366
1483513200,2.18957,2.24537,2.1128,2.1128
1483516800,2.08446,2.08446,1.89515,1.91897
1483520400,1.87806,1.87806,1.45646,1.45646
1483524000,1.42497,1.42497,1.26832,1.26832
1483527600,1.24294,1.53873,1.22815,1.53873
1483531200,1.53865,1.74457,1.44119,1.74457
1483534800,1.79756,1.82769,1.66478,1.68416
1483538400,1.62806,1.78989,1.53775,1.78989
1483542000,1.82175,1.98847,1.78354,1.98847
1483545600,2.01916,2.01916,1.13007,1.13007
1483549200,1.13876,1.34775,1.13876,1.14994
1483552800,1.14889,1.76405,1.14889,1.76405
1483556400,1.87806,2.72032,1.87806,2.72032
1483560000,2.79813,3.03534,2.79813,3.03534
1483563600,3.04715,3.0488,2.90696,2.96501
1483567200,2.95564,2.95564,2.65327,2.65327
1483570800,2.62671,2.62671,2.14142,2.14142
1483574400,2.12806,2.12806,1.80087,1.80087
1483578000,1.77892,1.77892,1.57476,1.63819
1483581600,1.6651,1.71613,1.57868,1.71613
1483585200,1.77676,1.99668,1.77676,1.99668
1483588800,2.0446,2.08584,1.83187,1.87419
1483592400,1.87806,1.87806,1.71726,1.71726
1483596000,1.69814,1.71314,1.58154,1.58154
1483599600,1.56784,1.88127,1.56784,1.8696
1483603200,1.81165,1.81165,1.42752,1.42752
1483606800,1.38784,1.55023,1.35909,1.44613
1483610400,1.37806,1.37806,1.19716,1.19716
1483614000,1.21022,1.21022,0.994866,1.13223
1483617600,1.19154,1.31313,1.17043,1.31313
1483621200,1.32432,1.68673,1.30609,1.68673
1483624800,1.75321,2.07252,1.75321,1.96892
1483628400,1.87806,1.87806,1.62238,1.8004
1483632000,1.82338,1.93495,1.82338,1.93495
1483635600,1.96583,1.99188,1.9343,1.96639
1483639200,1.99119,2.20671,1.99119,2.20671
1483642800,2.22966,2.31054,1.91876,1.91876
1483646400,1.87806,1.87806,1.55018,1.55018
1483650000,1.55048,1.71838,1.55048,1.64124
1483653600,1.58279,1.60233,1.47523,1.50582
1483657200,1.44573,1.44573,1.36938,1.37992
1483660800,1.41693,1.82739,1.41693,1.82739
1483664400,1.87806,2.32994,1.87806,2.32994
1483668000,2.35273,2.37996,2.27373,2.27373
1483671600,2.2485,2.2485,2.0552,2.0552
1483675200,2.05611,2.38774,2.05611,2.38774
1483678800,2.45039,2.64066,2.45039,2.59154
1483682400,2.62806,2.90025,2.62806,2.90025
1483686000,3.0318,3.33692,3.0318,3.33692
1483689600,3.3403,3.3403,2.61753,2.61753
