T,O,H,L,C
1514764800,0.42838,0.41851,0.43496,0.43487
1514765040,0.4346,0.40327,0.43516,0.40914
1514765280,0.40925,0.39999,0.41344,0.41226
1514765520,0.4128,0.40684,0.43702,0.43174
1514765760,0.43205,0.43004,0.46105,0.45904
1514766000,0.45873,0.43921,0.45954,0.4449
1514766240,0.44486,0.42855,0.44983,0.43837
1514766480,0.43894,0.42704,0.45502,0.43143
1514766720,0.43151,0.4253,0.44252,0.43006
1514766960,0.43011,0.41551,0.43533,0.4344
1514767200,0.43406,0.43246,0.45362,0.44513
1514767440,0.44508,0.43889,0.4573,0.44003
1514767680,0.4399,0.42716,0.44871,0.44819
1514767920,0.4477,0.41917,0.45425,0.41957
1514768160,0.41937,0.40656,0.42205,0.40712
1514768400,0.40658,0.39909,0.41884,0.41583
1514768640,0.41628,0.40317,0.41977,0.41561
1514768880,0.41614,0.39823,0.41993,0.40949
1514769120,0.40894,0.39774,0.41451,0.40253
1514769360,0.40279,0.40033,0.42075,0.40937
1514769600,0.40897,0.40621,0.43812,0.43689
1514769840,0.43649,0.42407,0.44242,0.43124
1514770080,0.43097,0.39606,0.43598,0.39606
1514770320,0.39551,0.39551,0.4211,0.40311
1514770560,0.40296,0.39565,0.41812,0.41413
1514770800,0.41363,0.39765,0.42442,0.39871
1514771040,0.39912,0.39472,0.42779,0.42578
1514771280,0.42537,0.42468,0.44028,0.42473
1514771520,0.42433,0.40991,0.42654,0.41465
1514771760,0.41437,0.40559,0.42413,0.42389
1514772000,0.42397,0.41246,0.43222,0.41335
1514772240,0.41387,0.40424,0.42548,0.41848
1514772480,0.41863,0.39286,0.42602,0.39721
1514772720,0.39703,0.39703,0.42397,0.41141
1514772960,0.41092,0.38896,0.41598,0.39404
1514773200,0.3937,0.38171,0.39828,0.38605
1514773440,0.38572,0.37185,0.39658,0.3728
1514773680,0.37293,0.35363,0.37662,0.3553
1514773920,0.35551,0.33133,0.356,0.33423
1514774160,0.33422,0.32765,0.35264,0.34908
1514774400,0.349,0.34477,0.36334,0.35781
1514774640,0.35771,0.35333,0.37929,0.37794
1514774880,0.37761,0.37384,0.38453,0.38153
1514775120,0.38103,0.35242,0.38264,0.35592
1514775360,0.35612,0.32181,0.36079,0.329
1514775600,0.3287,0.30794,0.3331,0.3107
1514775840,0.31124,0.30659,0.32472,0.32003
1514776080,0.3199,0.30577,0.32273,0.31037
1514776320,0.31065,0.31011,0.34917,0.34309
1514776560,0.34278,0.33439,0.36655,0.3652
1514776800,0.36543,0.35941,0.379,0.36426
1514777040,0.36464,0.3594,0.37522,0.36664
1514777280,0.36636,0.36184,0.37737,0.37684
1514777520,0.37675,0.36217,0.38162,0.36547
1514777760,0.3649,0.34994,0.38238,0.37992
1514778000,0.3802,0.35799,0.38738,0.36351
1514778240,0.36376,0.33053,0.36391,0.34476
1514778480,0.34457,0.33001,0.35853,0.35421
1514778720,0.354,0.35027,0.37097,0.36029
1514778960,0.35995,0.34443,0.36105,0.34878
1514779200,0.34834,0.33922,0.3541,0.34172
1514779440,0.34205,0.33128,0.34865,0.33284
1514779680,0.33259,0.32851,0.35629,0.33011
1514779920,0.32969,0.31827,0.33137,0.32036
1514780160,0.3198,0.3045,0.32196,0.30924
1514780400,0.30871,0.30615,0.33302,0.32585
1514780640,0.32548,0.31712,0.33478,0.32859
1514780880,0.32843,0.31709,0.33597,0.32953
1514781120,0.32993,0.32266,0.33618,0.32857
1514781360,0.32874,0.32378,0.36545,0.36129
1514781600,0.36095,0.34997,0.36621,0.34997
1514781840,0.34958,0.33731,0.35064,0.34675
1514782080,0.34622,0.33588,0.35702,0.34804
1514782320,0.34751,0.34708,0.36783,0.36699
1514782560,0.36728,0.36455,0.3786,0.37212
1514782800,0.37198,0.3583,0.37791,0.36401
1514783040,0.36395,0.35076,0.37536,0.35368
1514783280,0.3534,0.33838,0.35379,0.3476
1514783520,0.34737,0.3108,0.34748,0.31795
1514783760,0.31797,0.3001,0.32342,0.3182
1514784000,0.31766,0.30216,0.3191,0.30815
1514784240,0.30835,0.29068,0.31193,0.29742
1514784480,0.29781,0.27952,0.30018,0.2997
1514784720,0.29976,0.26283,0.3003,0.26415
1514784960,0.26411,0.2527,0.27693,0.27302
1514785200,0.27351,0.26636,0.28364,0.28364
1514785440,0.2835,0.25636,0.28474,0.25908
1514785680,0.25944,0.25045,0.28338,0.28159
1514785920,0.28201,0.26757,0.28647,0.28014
1514786160,0.2806,0.27215,0.28509,0.27217
1514786400,0.27273,0.27249,0.29364,0.27961
1514786640,0.2799,0.26474,0.2814,0.26533
1514786880,0.26583,0.25,0.28317,0.28126
1514787120,0.28106,0.28062,0.32098,0.32005
1514787360,0.32027,0.30356,0.32374,0.30417
1514787600,0.30372,0.30078,0.3199,0.30483
1514787840,0.30524,0.29564,0.30972,0.30194
1514788080,0.30145,0.29641,0.31991,0.31008
1514788320,0.31007,0.29746,0.32829,0.32608
1514788560,0.3261,0.32361,0.34793,0.34408
1514788800,0.34413,0.32728,0.35108,0.3323
1514789040,0.33229,0.31934,0.33436,0.33016
1514789280,0.3305,0.31878,0.33934,0.32006
1514789520,0.32023,0.31178,0.33134,0.32402
1514789760,0.32392,0.31903,0.35359,0.35311
1514790000,0.35275,0.32973,0.35705,0.33191
1514790240,0.33139,0.31915,0.33947,0.3209
1514790480,0.32042,0.30553,0.33079,0.31608
1514790720,0.31665,0.29832,0.32013,0.29952
1514790960,0.29993,0.28604,0.30985,0.2928
1514791200,0.29293,0.2813,0.3129,0.30734
1514791440,0.30706,0.30363,0.31897,0.31191
1514791680,0.31168,0.30732,0.32266,0.31047
1514791920,0.31026,0.30458,0.32858,0.31252
1514792160,0.31275,0.31074,0.33767,0.33688
1514792400,0.33738,0.33476,0.3511,0.34869
1514792640,0.34852,0.34565,0.36147,0.35445
1514792880,0.3548,0.35118,0.37405,0.37259
1514793120,0.37214,0.37122,0.39268,0.39129
1514793360,0.39105,0.3808,0.39967,0.39319
1514793600,0.39338,0.36841,0.40113,0.37555
1514793840,0.3759,0.36098,0.38065,0.37086
1514794080,0.37041,0.33841,0.3712,0.34665
1514794320,0.34685,0.34332,0.36378,0.3564
1514794560,0.35684,0.34773,0.36313,0.35832
1514794800,0.35884,0.35245,0.39884,0.39483
1514795040,0.39452,0.38109,0.40214,0.40065
1514795280,0.40121,0.3977,0.41711,0.40486
1514795520,0.40535,0.38527,0.4061,0.39371
1514795760,0.39387,0.36932,0.39759,0.37283
1514796000,0.37295,0.37081,0.40509,0.40434
1514796240,0.40414,0.40201,0.42555,0.41929
1514796480,0.41908,0.40091,0.42168,0.41033
1514796720,0.40982,0.3963,0.42258,0.41913
1514796960,0.41938,0.41842,0.44826,0.44283
1514797200,0.44341,0.42917,0.45654,0.45426
1514797440,0.45378,0.43952,0.46168,0.44082
1514797680,0.44043,0.42318,0.4444,0.43297
1514797920,0.43325,0.42666,0.44171,0.4369
